datasetkey	datasetname	publisher	COUNT(*)
ddd51fa5-97ce-48ff-9a58-a09d7e76b103	VMM - Rat control occurrences in Flanders, Belgium	Flanders Environment Agency (VMM)	300
cd1c5bf1-0d7a-447a-875a-919f22e325bb		University of Amsterdam / IBED	271
ec836767-7df3-4b7e-bee4-63e1d3ee0bba	KU Leuven, Zoology Museum, PAS Bird collection (Aves)	KU Leuven	243
dad6253c-be06-4626-9b95-d48823137ced		The Netherlands Institute of Ecology (NIOO-KNAW)	233
312bb844-4980-4b1a-a64b-e79f9ac083a4		BioFresh	222
a0e4d63d-7609-4031-b27d-8aebe9117ef8	micro mammals predated by Tyto alba in Wallonia	Service Public de Wallonie – Département d’Etude du Milieu Naturel et Agricole (SPW – DEMNA)	203
36f15a36-6b45-442e-9c31-cd633423aee0		Field Museum	172
52f2051b-c47e-403a-8e32-04b2f2273c20	Aranzadi Ringing Scheme (bird ring-recovery data)	Aranzadi Science Society	161
5124534e-2d9c-46b7-a857-e0012821526b	H_GRONINGEN - Western marsh harriers (Circus aeruginosus, Accipitridae) breeding in Groningen (the Netherlands)	Research Institute for Nature and Forest (INBO)	157
712dba38-74cc-4704-87c0-63d1bf8484bc	Birdmap data	PlutoF	153
4b15eab0-67e6-42c6-bc1a-9bb44354d837		Estonian Ornithological Society (BirdLife Estonia)	152
b84a3711-b4ca-4e4f-adac-80dfaea98d1c	Hatikka.fi observations	Finnish Biodiversity Information Facility	146
0ce32496-2305-4bac-a6b5-efa972aff14d	Recoveries of birds ringed by Revtangen Bird Observatory	Museum Stavanger	143
ea410929-015a-4093-9c7e-7be2482668c9	Natagriwal ; Observations made from operations within Natura 2000 habitats and other semi-natural areas	Natagriwal asbl	138
f861b96e-76f8-4a4d-b301-ebb82eed6011		Norwegian Biodiversity Information Centre	132
e635240a-3cb1-4d26-ab87-57d8c7afdfdb	University of Kansas Biodiversity Institute Ornithology Collection	University of Kansas Biodiversity Institute	129
f5b95458-0d95-48f4-b4ad-679a6c937a7d		ENGIE	127
e47b30f3-e957-460f-8c5f-d299a76fc080		SwissNatColl	111
7522721f-4d97-4984-8231-c9e061ef46df	Invasive species - Rosse stekelstaart (Oxyura jamaicensis) in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	110
8fd84a4f-bbed-490b-9ca4-c0a3d0aea079	eDNA from water column to characterise fish and invertebrate communities from 30 sites in the Belgian Part of the North Sea -12S	Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	110
b264472b-e6ed-442a-a18e-4bdccdb70169	VBP - Citizen science Occurrences of a former sand quarry by NATUBRABZB in Flanders, Belgium	Research Institute for Nature and Forest (INBO)	100
789d0bc0-0709-4e98-82b7-7fd664ff6527	Number of Anseriformes and Charadriiformes live, sick and dead, and number of Anseriformes and Charadriiformes sick and dead by administrative unit (NUTS3 region) submitted to Observation.org between 2016 and 2021	Estación Biológica de Doñana (CSIC)	88
96bb53c5-01ae-48fc-b5c2-26c549a50089	Observatoire Pelagis aerial surveys 2002-2021	OBIS-SEAMAP	72
3236cdc4-2f4d-4bd6-b53f-54fd8d8a0aa8		BioFresh	72
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2026	Meise Botanic Garden	65
b4ae1720-1431-49ee-bfeb-8146fc42b1a3		South African National Biodiversity Institute	65
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2027	Meise Botanic Garden	61
3634aee3-41d5-4aa2-8cb5-875859f62a3a	MICA - Muskrat occurrences collected by VMM in Flanders, Belgium	Flanders Environment Agency (VMM)	58
8ddac24b-e022-46df-8883-11e4f222142b		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	53
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2040	Meise Botanic Garden	53
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2043	Meise Botanic Garden	53
2d880bf8-b3e1-4bc5-b46e-c961180ff869		Flanders Marine Institute	51
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2045	Meise Botanic Garden	51
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2024	Meise Botanic Garden	48
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2025	Meise Botanic Garden	47
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2051	Meise Botanic Garden	46
860ebeef-240a-455c-997c-bd0e79806f26		UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	45
5b8bcba7-cecb-4d95-9865-2830cd4e35aa	Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)	Research Institute for Nature and Forest (INBO)	44
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2031	Meise Botanic Garden	44
c9198eaf-f909-4502-9bcd-4e83452fb245	Monitoring des projets réalisés Beckerich - 2016	National Museum of Natural History, Luxembourg	44
821cc27a-e3bb-4bc5-ac34-89ada245069d	NMNH Extant Biology	National Museum of Natural History, Smithsonian Institution	44
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2044	Meise Botanic Garden	43
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2046	Meise Botanic Garden	43
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2047	Meise Botanic Garden	42
eec96315-24f7-44ab-99dd-bed82d69bed5		TotalEnergies	42
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2028	Meise Botanic Garden	41
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2042	Meise Botanic Garden	41
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2048	Meise Botanic Garden	41
a307e4d7-1de2-4adc-95d5-a0a8d5f57236		Natural History Museum Rotterdam	41
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2049	Meise Botanic Garden	39
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2038	Meise Botanic Garden	39
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2030	Meise Botanic Garden	39
0eb4ad83-f80d-4d86-83d8-f3a55ddd216f		UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	38
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2021	Meise Botanic Garden	38
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2039	Meise Botanic Garden	37
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2023	Meise Botanic Garden	37
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2033	Meise Botanic Garden	36
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2022	Meise Botanic Garden	36
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2041	Meise Botanic Garden	36
c9198eaf-f909-4502-9bcd-4e83452fb245	Zufallsfunde Vögel	National Museum of Natural History, Luxembourg	34
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2017	Meise Botanic Garden	33
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2019	Meise Botanic Garden	32
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2032	Meise Botanic Garden	32
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2029	Meise Botanic Garden	31
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2050	Meise Botanic Garden	31
aa6c5ee6-d4d7-4a65-a04f-379cffbf4842		ArtenFinder bei der Stiftung Natur und Umwelt RLP und der Stiftung Naturschutz Berlin	31
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2020	Meise Botanic Garden	28
962f59bc-f762-11e1-a439-00145eb45e9a	Beobachtungen Vögel	National Museum of Natural History, Luxembourg	28
9575ab07-e816-4cd6-aa99-483343a825e6		BioFresh	27
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2036	Meise Botanic Garden	26
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2035	Meise Botanic Garden	26
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2052	Meise Botanic Garden	25
8afcc57c-5d2b-4349-add6-29bfc33ed5cb	Vertical and horizontal environmental DNA (eDNA) patterns of fish in a shallow and well-mixed North Sea area	Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	24
7e380070-f762-11e1-a439-00145eb45e9a		Natural History Museum	22
ba0c03ab-fa61-4a3c-8db7-35c8c3454168		MNHN - Museum national d'Histoire naturelle	21
b7ec1bf8-819b-11e2-bad2-00145eb45e9a		Museum für Naturkunde Berlin	20
829026f2-f762-11e1-a439-00145eb45e9a		Senckenberg	20
848586a4-a07b-4974-9f12-e1bbe0736a21	Bird	Canadian Museum of Nature	20
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2018	Meise Botanic Garden	19
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2034	Meise Botanic Garden	19
a3683bf4-e662-40fb-be92-25fe6a9076aa	Bird Ringing	National Museum of Natural History, Luxembourg	18
532d4c0b-9f4b-4828-be17-a402ce9d69b0	Meise Bird Monitoring 2037	Meise Botanic Garden	18
