datasetkey	datasetname	publisher	COUNT(*)
15738fee-78b1-4751-bcc1-cbf7139c68de		Centre for Australian National Biodiversity Research	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Loupoigne	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Posthofbrug, Antwerpen Sands	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Tuffeau de Ciply	Paleobiology Database	1
0debafd0-6c8a-11de-8225-b8a03c50a862	A. Somerville Egg Collection (2003-2017)	Commonwealth Scientific and Industrial Research Organisation	1
0debafd0-6c8a-11de-8225-b8a03c50a862	G.L. Walker Egg Collection	Commonwealth Scientific and Industrial Research Organisation	1
c8378949-f3f6-48b8-99ec-b646807deb59		Muséum Gabriel Foucher, musée d’histoire naturelle de la ville de Bourges	1
b8c97ae9-e444-48d8-8705-198d8c1e6fdd		Museum and Institute of Zoology, Polish Academy of Sciences (MIIZ PAN)	1
ca2e422f-be48-42a5-bca5-a37cada435c8		Universidade Estadual de Campinas	1
1d0212a5-5c5e-4696-8114-f39b2b35de5f	Ornithology	National Museum of Natural History, Bulgarian Academy of Sciences	1
857bce66-f762-11e1-a439-00145eb45e9a		Biologiezentrum Linz Oberoesterreich	1
71db3522-f762-11e1-a439-00145eb45e9a		National Museum of Nature and Science, Japan	1
b9afe2d0-b264-4422-bf8c-096b2a53c18f	data_release_001	Flanders Marine Institute	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Nederokkerzeel	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Aalter Sands (Sables d'Aalter) - Bruxelles Formation	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Etterbeek	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Canal d'Herentals	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Bruxelles Sands (Sables d'Bruxelles) - Bruxelles Formation	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Amerika Dok	Paleobiology Database	1
62e99340-528c-4baf-bbd7-bf0df2f186b9	Take Part - Citizen Science	National Museum of Natural History, Luxembourg	1
962f59bc-f762-11e1-a439-00145eb45e9a	PBEPT BOULAIDE	National Museum of Natural History, Luxembourg	1
962f59bc-f762-11e1-a439-00145eb45e9a	DNA samples MNHNL	National Museum of Natural History, Luxembourg	1
8c759d8c-f762-11e1-a439-00145eb45e9a		PANGAEA - Data Publisher for Earth & Environmental Science	1
c9198eaf-f909-4502-9bcd-4e83452fb245	Raubwürger - diverse Kartierungen	National Museum of Natural History, Luxembourg	1
c9198eaf-f909-4502-9bcd-4e83452fb245	Fotofallen	National Museum of Natural History, Luxembourg	1
962f59bc-f762-11e1-a439-00145eb45e9a	DNA barcode Herbarium LUX	National Museum of Natural History, Luxembourg	1
962f59bc-f762-11e1-a439-00145eb45e9a	Schéierschwanz & Co	National Museum of Natural History, Luxembourg	1
c6a2ecf7-f9d2-4443-91b6-199f00aa01a2	Karlstrøm norsk og utenlandsk samling egg	Norwegian University of Science and Technology	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Steendorp (Rupelian)	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Vieux-Genappe	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	La Belle-Roche	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Kallo, Kallo Sands	Paleobiology Database	1
22a66350-7947-4a49-84a3-39c7c1b0881f		Michigan State University Museum	1
